"Moving Violations",,
"Patrol Bureau",,
"December ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",44,622
"Bike Lane",143,1811
"Bus Lane",375,3156
"Cell Phone",1674,33987
"Commercial Veh on Pkwy",16,229
"Cruising For Passengers",1,14
"Disobey Traffic Control Device",10631,155313
"Driving Too Slow",0,17
Equipment,969,19570
"Equipment (Other)",5,70
"Excessive Noise",0,1
"Fail to Keep Right",4,82
"Fail to yield Right of Way to Pedestrian",7522,73681
"Failure to Signal",819,13034
"Failure to yield Right of Way to Vehicle",2,73
"Following Too Closely",26,304
"Improper Passing",120,2126
"Improper Taxi Pickup",16,207
"Improper Turn",4925,68816
"Improper/Missing Plates",62,960
"Lamps and Other Equipment on Bicycle",7,118
"Motorcycle (Other)",19,1188
"Not Giving R of W to Veh.",83,1058
"Obstructed Plate",404,6434
"One Way Street",174,3378
Overheight,0,2
Overlength,2,7
Overweight,0,2
Overwidth,0,0
"Pavement Markings",21,190
"Red Light",4024,65287
"School Bus",67,1947
"Scooter In NYC",0,51
"Seat Belt",2511,58655
Speeding,4181,69023
Spillback,32,460
"TBTA Rule",0,2
Tints,1623,29278
"TLC (Other)",0,40
"Truck Route",166,1184
Uninspected,134,2053
Uninsured,536,9179
"Unlicensed Operator",2493,41035
Unregistered,569,8706
"Unsafe Lane Change",151,2202
"Other Movers",3971,71940
"PATROLTOTAL Movers ",48522,747492
"* All figures are preliminary and subject to change.",,
