"Moving Violations",,
"Brooklyn South",,
"December ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",2,97
"Bike Lane",11,81
"Bus Lane",10,244
"Cell Phone",412,7242
"Commercial Veh on Pkwy",1,92
"Cruising For Passengers",0,1
"Disobey Traffic Control Device",1791,25399
"Driving Too Slow",0,0
Equipment,117,2613
"Equipment (Other)",0,10
"Excessive Noise",0,0
"Fail to Keep Right",0,7
"Fail to yield Right of Way to Pedestrian",1278,11719
"Failure to Signal",151,2507
"Failure to yield Right of Way to Vehicle",0,15
"Following Too Closely",2,29
"Improper Passing",24,364
"Improper Taxi Pickup",2,13
"Improper Turn",498,6481
"Improper/Missing Plates",9,126
"Lamps and Other Equipment on Bicycle",0,29
"Motorcycle (Other)",4,205
"Not Giving R of W to Veh.",12,240
"Obstructed Plate",61,1002
"One Way Street",16,398
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
"Pavement Markings",1,31
"Red Light",900,12871
"School Bus",16,461
"Scooter In NYC",0,6
"Seat Belt",540,12083
Speeding,688,10943
Spillback,5,70
"TBTA Rule",0,0
Tints,297,5424
"TLC (Other)",0,1
"Truck Route",19,260
Uninspected,19,359
Uninsured,91,1414
"Unlicensed Operator",415,6534
Unregistered,100,1422
"Unsafe Lane Change",19,304
"Other Movers",788,11990
"PBBSTOTAL Movers ",8299,123087
"* All figures are preliminary and subject to change.",,
