"Moving Violations",,
"Brooklyn North",,
"December ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",2,73
"Bike Lane",54,517
"Bus Lane",17,219
"Cell Phone",133,2825
"Commercial Veh on Pkwy",1,53
"Cruising For Passengers",1,4
"Disobey Traffic Control Device",1413,21835
"Driving Too Slow",0,3
Equipment,137,3336
"Equipment (Other)",1,8
"Excessive Noise",0,0
"Fail to Keep Right",0,9
"Fail to yield Right of Way to Pedestrian",661,6095
"Failure to Signal",163,2201
"Failure to yield Right of Way to Vehicle",0,13
"Following Too Closely",2,30
"Improper Passing",36,560
"Improper Taxi Pickup",1,8
"Improper Turn",464,5647
"Improper/Missing Plates",5,90
"Lamps and Other Equipment on Bicycle",0,6
"Motorcycle (Other)",6,210
"Not Giving R of W to Veh.",20,120
"Obstructed Plate",43,659
"One Way Street",20,625
Overheight,0,0
Overlength,0,0
Overweight,0,1
Overwidth,0,0
"Pavement Markings",1,12
"Red Light",519,9892
"School Bus",11,148
"Scooter In NYC",0,6
"Seat Belt",282,6301
Speeding,239,5124
Spillback,4,54
"TBTA Rule",0,0
Tints,280,4311
"TLC (Other)",0,0
"Truck Route",39,355
Uninspected,12,225
Uninsured,54,1229
"Unlicensed Operator",310,5501
Unregistered,57,1241
"Unsafe Lane Change",7,117
"Other Movers",372,8533
"PBBNTOTAL Movers ",5367,88196
"* All figures are preliminary and subject to change.",,
