"Moving Violations",,
"Brooklyn South",,
"February ",,
"Offense Description","MTD 2020","YTD 2020"
"Backing Unsafely",8,14
"Bike Lane",4,9
"Bus Lane",23,32
"Cell Phone",432,993
"Commercial Veh on Pkwy",30,44
"Cruising For Passengers",0,0
"Disobey Traffic Control Device",2173,4777
"Driving Too Slow",0,0
Equipment,186,393
"Equipment (Other)",0,2
"Excessive Noise",0,0
"Fail to Keep Right",0,1
"Fail to yield Right of Way to Pedestrian",979,2115
"Failure to Signal",198,365
"Failure to yield Right of Way to Vehicle",0,1
"Following Too Closely",3,5
"Improper Passing",27,56
"Improper Taxi Pickup",1,2
"Improper Turn",657,1370
"Improper/Missing Plates",13,26
"Lamps and Other Equipment on Bicycle",3,3
"Motorcycle (Other)",2,5
"Not Giving R of W to Veh.",6,19
"Obstructed Plate",75,150
"One Way Street",15,34
Overheight,0,0
Overlength,0,1
Overweight,0,0
Overwidth,0,0
"Pavement Markings",1,4
"Red Light",1073,2443
"School Bus",9,36
"Scooter In NYC",0,0
"Seat Belt",718,1548
Speeding,876,1993
Spillback,2,9
"TBTA Rule",0,0
Tints,356,782
"TLC (Other)",0,0
"Truck Route",83,213
Uninspected,12,33
Uninsured,75,174
"Unlicensed Operator",447,986
Unregistered,100,214
"Unsafe Lane Change",24,53
"Other Movers",973,1992
"PBBSTOTAL Movers ",9584,20897
"* All figures are preliminary and subject to change.",,
