"Moving Violations",,
Citywide,,
"February ",,
"Offense Description","MTD 2020","YTD 2020"
"Backing Unsafely",53,112
"Bike Lane",222,437
"Bus Lane",276,449
"Cell Phone",2342,5143
"Commercial Veh on Pkwy",348,667
"Cruising For Passengers",2,2
"Disobey Traffic Control Device",16656,34501
"Driving Too Slow",2,4
Equipment,2366,4401
"Equipment (Other)",6,16
"Excessive Noise",1,1
"Fail to Keep Right",13,28
"Fail to yield Right of Way to Pedestrian",7705,16167
"Failure to Signal",1342,2806
"Failure to yield Right of Way to Vehicle",4,10
"Following Too Closely",79,163
"Improper Passing",161,343
"Improper Taxi Pickup",195,339
"Improper Turn",7206,14742
"Improper/Missing Plates",93,186
"Lamps and Other Equipment on Bicycle",8,9
"Motorcycle (Other)",42,90
"Not Giving R of W to Veh.",101,221
"Obstructed Plate",697,1366
"One Way Street",405,901
Overheight,7,23
Overlength,59,72
Overweight,196,210
Overwidth,37,38
"Pavement Markings",22,46
"Red Light",5723,11958
"School Bus",85,213
"Scooter In NYC",0,4
"Seat Belt",4020,8373
Speeding,13478,30307
Spillback,296,581
"TBTA Rule",0,0
Tints,3224,6672
"TLC (Other)",0,0
"Truck Route",672,1244
Uninspected,237,534
Uninsured,836,1693
"Unlicensed Operator",3707,7822
Unregistered,935,1889
"Unsafe Lane Change",365,762
"Other Movers",6766,14375
"CitywideTOTAL Movers ",80990,169920
"* All figures are preliminary and subject to change.",,
