"Moving Violations",,
Bronx,,
"  August ",,
pbbxsum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",22,197
"Brake Lights (Defect.or Improper)",275,3107
"Bus Lane, Driving in",6,107
"Cell Phone",572,5041
"Commercial Veh on Pkwy",6,22
"Defective Brakes",5,10
"Disobey Steady Red Signal",377,3468
"Disobey Traffic Control Device",1648,12367
"Equipment (Other)",38,317
"Fail to Keep Right",0,36
"Fail to Signal",199,1499
"Following Too Closely",5,39
"Headlights (Defect. or Improper)",223,2765
"Improper Lights",5,73
"Improper Passing",21,190
"Improper Turn",930,7474
"Improper/Missing Plates",28,257
"Not Giving R of W to Pedes.",143,3275
"Not Giving R of W to Veh.",34,261
"One Way Street",22,165
"Pavement Markings",68,1075
"Safety Belt",660,5564
"School Bus, Passing Stopped",23,544
Speeding,722,5691
Spillback,8,138
"Tinted Windows",1071,9789
"Truck Routes",30,256
U-Turn,34,670
Uninspected,27,210
Uninsured,410,4029
"Unlicensed Operator",576,4798
Unregistered,142,1407
"Unsafe Lane Change",53,398
"Other Movers",396,3256
"PBBXTOTAL Movers ",8779,78495
,,
"* All figures are preliminary and subject to change.",,
