"Moving Violations",,
"103rd Precinct",,
"  August ",,
103sum,,
"Offense Description","MTD 2015","YTD 2015"
"Backing Unsafely",2,13
"Brake Lights (Defect.or Improper)",1,23
"Bus Lane, Driving in",0,0
"Cell Phone",66,617
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",29,277
"Disobey Traffic Control Device",431,3095
"Equipment (Other)",3,4
"Fail to Keep Right",0,0
"Fail to Signal",11,109
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",4,27
"Improper Lights",3,11
"Improper Passing",0,5
"Improper Turn",72,678
"Improper/Missing Plates",3,16
"Not Giving R of W to Pedes.",52,481
"Not Giving R of W to Veh.",3,16
"One Way Street",2,19
"Pavement Markings",7,140
"Safety Belt",134,1093
"School Bus, Passing Stopped",1,19
Speeding,20,181
Spillback,3,40
"Tinted Windows",254,2386
"Truck Routes",27,260
U-Turn,28,259
Uninspected,1,13
Uninsured,7,93
"Unlicensed Operator",89,805
Unregistered,3,31
"Unsafe Lane Change",1,19
"Other Movers",95,747
"103TOTAL Movers ",1352,11477
,,
"* All figures are preliminary and subject to change.",,
