"Moving Violations",,
"Queens South",,
" January ",,
pbqssum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",9,9
"Brake Lights (Defect.or Improper)",93,93
"Bus Lane, Driving in",0,0
"Cell Phone",394,394
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Steady Red Signal",362,362
"Disobey Traffic Control Device",1309,1309
"Equipment (Other)",21,21
"Fail to Keep Right",3,3
"Fail to Signal",99,99
"Following Too Closely",2,2
"Headlights (Defect. or Improper)",62,62
"Improper Lights",39,39
"Improper Passing",26,26
"Improper Turn",877,877
"Improper/Missing Plates",30,30
"Not Giving R of W to Pedes.",284,284
"Not Giving R of W to Veh.",28,28
"One Way Street",8,8
"Pavement Markings",104,104
"Safety Belt",520,520
"School Bus, Passing Stopped",30,30
Speeding,482,482
Spillback,4,4
"Tinted Windows",991,991
"Truck Routes",32,32
U-Turn,52,52
Uninspected,48,48
Uninsured,330,330
"Unlicensed Operator",601,601
Unregistered,55,55
"Unsafe Lane Change",11,11
"Other Movers",344,344
"PBQSTOTAL Movers ",7250,7250
,,
"* All figures are preliminary and subject to change.",,
