"Moving Violations",,
Bronx,,
" January ",,
pbbxsum,,
"Offense Description","MTD 2016","YTD 2016"
"Backing Unsafely",30,30
"Brake Lights (Defect.or Improper)",390,390
"Bus Lane, Driving in",4,4
"Cell Phone",524,524
"Commercial Veh on Pkwy",3,3
"Defective Brakes",1,1
"Disobey Steady Red Signal",439,439
"Disobey Traffic Control Device",1773,1773
"Equipment (Other)",33,33
"Fail to Keep Right",2,2
"Fail to Signal",204,204
"Following Too Closely",3,3
"Headlights (Defect. or Improper)",510,510
"Improper Lights",34,34
"Improper Passing",30,30
"Improper Turn",864,864
"Improper/Missing Plates",98,98
"Not Giving R of W to Pedes.",441,441
"Not Giving R of W to Veh.",41,41
"One Way Street",18,18
"Pavement Markings",73,73
"Safety Belt",512,512
"School Bus, Passing Stopped",124,124
Speeding,837,837
Spillback,22,22
"Tinted Windows",2176,2176
"Truck Routes",53,53
U-Turn,44,44
Uninspected,61,61
Uninsured,588,588
"Unlicensed Operator",646,646
Unregistered,192,192
"Unsafe Lane Change",128,128
"Other Movers",363,363
"PBBXTOTAL Movers ",11261,11261
,,
"* All figures are preliminary and subject to change.",,
