123rd Precinct,,
February ,,
"","",""
Backing Unsafely,1,1
Bike Lane,0,0
Bus Lane,0,0
Cell Phone,49,84
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,215,429
Driving Too Slow,1,1
Equipment,15,36
Equipment (Other),0,1
Excessive Noise,0,0
Fail to Keep Right,0,0
Fail to yield Right of Way to Pedestrian,22,27
Failure to Signal,69,129
Following Too Closely,1,2
Improper Passing,3,4
Improper Taxi Pickup,0,0
Improper Turn,12,29
Improper/Missing Plates,7,12
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),0,0
Not Giving R of W to Veh.,5,8
Obstructed Plate,15,30
One Way Street,2,4
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,1,1
Red Light,63,123
School Bus,1,6
Scooter In NYC,0,0
Seat Belt,113,242
Speeding,226,459
Spillback,0,0
TBTA Rule,0,0
Tints,88,174
TLC (Other),0,0
Truck Route,0,0
Uninspected,12,34
Uninsured,34,68
Unlicensed Operator,65,117
Unregistered,11,27
Unsafe Lane Change,3,19
Other Movers,114,237
123TOTAL Movers ,1148,2304
