Midtown South Precinct,,
February ,,
"","",""
Backing Unsafely,2,4
Bike Lane,0,1
Bus Lane,0,0
Cell Phone,46,94
Commercial Veh on Pkwy,0,0
Cruising For Passengers,0,0
Disobey Traffic Control Device,123,272
Driving Too Slow,0,0
Equipment,25,29
Equipment (Other),0,0
Excessive Noise,0,0
Fail to Keep Right,1,1
Fail to yield Right of Way to Pedestrian,280,490
Failure to Signal,32,55
Following Too Closely,0,3
Improper Passing,2,4
Improper Taxi Pickup,1,2
Improper Turn,306,687
Improper/Missing Plates,0,0
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),3,5
Not Giving R of W to Veh.,4,6
Obstructed Plate,6,13
One Way Street,60,80
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,0,0
Red Light,53,121
School Bus,1,1
Scooter In NYC,0,0
Seat Belt,53,123
Speeding,35,52
Spillback,1,2
TBTA Rule,0,0
Tints,42,74
TLC (Other),0,0
Truck Route,0,0
Uninspected,2,2
Uninsured,1,4
Unlicensed Operator,8,15
Unregistered,3,4
Unsafe Lane Change,6,19
Other Movers,293,568
014TOTAL Movers ,1389,2731
