104th Precinct,,
Backing Unsafely,0,8
Brake Lights (Defect.or  Improper),0,1
"Bus Lane, Driving in",0,0
Cell Phone,96,1267
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,33,684
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,0,11
Fail to Stop on Signal,11,212
Following Too Closely,1,5
Headlights (Defect. or Improper),0,0
Improper Lights,0,0
Improper Passing,0,46
Improper Turn,1,15
Improper/Missing Plates,0,0
Not Giving R of W to Pedes.,11,111
Not Giving R of W to Veh.,0,9
One Way Street,4,6
Pavement Markings,0,54
Safety Belt,267,1869
"School Bus, Passing Stopped",1,19
Speeding,19,140
Spillback,0,2
Tinted Windows,53,751
Truck Routes,23,381
U-Turn,0,2
Uninspected,0,0
Uninsured,45,585
Unlicensed Operator,79,677
Unregistered,0,0
Unsafe Lane Change,0,3
Other Movers,63,840
TOTAL Movers,707,7698
