Brooklyn South,,
   March ,,
"","",""
Backing Unsafely,11,35
Bike Lane,9,15
Bus Lane,33,104
Cell Phone,581,1805
Commercial Veh on Pkwy,5,14
Cruising For Passengers,0,0
Disobey Traffic Control Device,2519,7338
Driving Too Slow,0,0
Equipment,201,619
Equipment (Other),0,1
Excessive Noise,0,0
Fail to Keep Right,1,2
Fail to yield Right of Way to Pedestrian,927,2664
Failure to Signal,316,878
Failure to yield Right of Way to Vehicle,1,1
Following Too Closely,4,10
Improper Passing,23,76
Improper Taxi Pickup,2,6
Improper Turn,568,1845
Improper/Missing Plates,13,32
Lamps and Other Equipment on Bicycle,1,3
Motorcycle (Other),10,23
Not Giving R of W to Veh.,27,82
Obstructed Plate,102,296
One Way Street,28,87
Overheight,0,0
Overlength,0,0
Overweight,0,0
Overwidth,0,0
Pavement Markings,2,9
Red Light,1067,3492
School Bus,116,148
Scooter In NYC,3,3
Seat Belt,881,2824
Speeding,964,2677
Spillback,10,21
TBTA Rule,0,0
Tints,677,1849
TLC (Other),0,0
Truck Route,28,48
Uninspected,44,111
Uninsured,161,484
Unlicensed Operator,593,1762
Unregistered,113,360
Unsafe Lane Change,16,83
Other Movers,1063,3067
PBBSTOTAL Movers ,11120,32874
