Transportation Bureau,,
   March ,,
"","",""
Backing Unsafely,23,42
Bike Lane,7,11
Bus Lane,448,957
Cell Phone,331,785
Commercial Veh on Pkwy,281,793
Cruising For Passengers,4,21
Disobey Traffic Control Device,4362,12418
Driving Too Slow,1,8
Equipment,994,2553
Equipment (Other),1,4
Excessive Noise,0,0
Fail to Keep Right,0,2
Fail to yield Right of Way to Pedestrian,309,698
Failure to Signal,392,1145
Failure to yield Right of Way to Vehicle,3,3
Following Too Closely,87,220
Improper Passing,82,157
Improper Taxi Pickup,153,539
Improper Turn,1663,4121
Improper/Missing Plates,18,51
Lamps and Other Equipment on Bicycle,0,0
Motorcycle (Other),55,62
Not Giving R of W to Veh.,71,150
Obstructed Plate,230,594
One Way Street,409,709
Overheight,11,32
Overlength,3,15
Overweight,14,33
Overwidth,0,0
Pavement Markings,16,56
Red Light,284,813
School Bus,8,71
Scooter In NYC,0,0
Seat Belt,704,1707
Speeding,7643,22618
Spillback,855,2608
TBTA Rule,0,0
Tints,2928,5937
TLC (Other),0,0
Truck Route,37,128
Uninspected,94,277
Uninsured,231,544
Unlicensed Operator,829,2126
Unregistered,241,642
Unsafe Lane Change,235,646
Other Movers,1964,4621
TCDTOTAL Movers ,26021,68917
