"Moving Violations",,
Citywide,,
" January ",,
"Offense Description","MTD 2019","YTD 2019"
"Backing Unsafely",75,75
"Bike Lane",75,75
"Bus Lane",608,608
"Cell Phone",3628,3628
"Commercial Veh on Pkwy",305,305
"Cruising For Passengers",2,2
"Disobey Traffic Control Device",21951,21951
"Driving Too Slow",4,4
Equipment,2484,2484
"Equipment (Other)",5,5
"Excessive Noise",0,0
"Fail to Keep Right",10,10
"Fail to yield Right of Way to Pedestrian",5652,5652
"Failure to Signal",1889,1889
"Failure to yield Right of Way to Vehicle",2,2
"Following Too Closely",103,103
"Improper Passing",158,158
"Improper Taxi Pickup",202,202
"Improper Turn",8038,8038
"Improper/Missing Plates",94,94
"Lamps and Other Equipment on Bicycle",5,5
"Motorcycle (Other)",30,30
"Not Giving R of W to Veh.",133,133
"Obstructed Plate",818,818
"One Way Street",406,406
Overheight,13,13
Overlength,9,9
Overweight,10,10
Overwidth,0,0
"Pavement Markings",41,41
"Red Light",6611,6611
"School Bus",159,159
"Scooter In NYC",2,2
"Seat Belt",5291,5291
Speeding,14989,14989
Spillback,824,824
"TBTA Rule",0,0
Tints,5210,5210
"TLC (Other)",7,7
"Truck Route",149,149
Uninspected,253,253
Uninsured,1158,1158
"Unlicensed Operator",4647,4647
Unregistered,956,956
"Unsafe Lane Change",425,425
"Other Movers",7830,7830
"CitywideTOTAL Movers ",95261,95261
"* All figures are preliminary and subject to change.",,
