"Moving Violations",,
"Manhattan South",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
19","YTD 2014"
,,19
"Brake Lights (Defect.or  Improper)",289,289
"Bus Lane, Driving in",23,23
"Cell Phone",1353,1353
"Commercial Veh on Pkwy",0,0
"Defective Brakes",1,1
"Disobey Sign",1609,1609
"Equipment (Other)",107,107
"Fail to Keep Right",5,5
"Fail to Signal",242,242
"Fail to Stop on Signal",597,597
"Following Too Closely",9,9
"Headlights (Defect. or Improper)",428,428
"Improper Lights",57,57
"Improper Passing",35,35
"Improper Turn",1318,1318
"Improper/Missing Plates",14,14
"Not Giving R of W to Pedes.",260,260
"Not Giving R of W to Veh.",6,6
"One Way Street",59,59
"Pavement Markings",327,327
"Safety Belt",1036,1036
"School Bus, Passing Stopped",4,4
Speeding,38,38
Spillback,188,188
"Tinted Windows",218,218
"Truck Routes",92,92
U-Turn,54,54
Uninspected,17,17
Uninsured,353,353
"Unlicensed Operator",282,282
Unregistered,99,99
"Unsafe Lane Change",188,188
"Other Movers
TOTAL Movers","587
9914",587
,,9914
"* All figures are preliminary and subject to change.",,
