"Moving Violations",,
"66th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,0
"Brake Lights (Defect.or  Improper)",6,6
"Bus Lane, Driving in",0,0
"Cell Phone",109,109
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",92,92
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",55,55
"Fail to Stop on Signal",12,12
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",1,1
"Improper Lights",0,0
"Improper Passing",3,3
"Improper Turn",2,2
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",21,21
"Not Giving R of W to Veh.",0,0
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",137,137
"School Bus, Passing Stopped",7,7
Speeding,40,40
Spillback,0,0
"Tinted Windows",45,45
"Truck Routes",12,12
U-Turn,0,0
Uninspected,7,7
Uninsured,55,55
"Unlicensed Operator",36,36
Unregistered,5,5
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","29
675",29
,,675
"* All figures are preliminary and subject to change.",,
