"Moving Violations",,
"Midtown North Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
2","YTD 2014"
,,2
"Brake Lights (Defect.or  Improper)",18,18
"Bus Lane, Driving in",10,10
"Cell Phone",178,178
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",225,225
"Equipment (Other)",0,0
"Fail to Keep Right",3,3
"Fail to Signal",24,24
"Fail to Stop on Signal",76,76
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",35,35
"Improper Lights",0,0
"Improper Passing",1,1
"Improper Turn",302,302
"Improper/Missing Plates",3,3
"Not Giving R of W to Pedes.",9,9
"Not Giving R of W to Veh.",0,0
"One Way Street",1,1
"Pavement Markings",14,14
"Safety Belt",122,122
"School Bus, Passing Stopped",1,1
Speeding,2,2
Spillback,10,10
"Tinted Windows",17,17
"Truck Routes",0,0
U-Turn,6,6
Uninspected,1,1
Uninsured,52,52
"Unlicensed Operator",28,28
Unregistered,14,14
"Unsafe Lane Change",3,3
"Other Movers
TOTAL Movers","24
1181",24
,,1181
"* All figures are preliminary and subject to change.",,
