"Moving Violations",,
"Midtown South Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
4","YTD 2014"
,,4
"Brake Lights (Defect.or  Improper)",45,45
"Bus Lane, Driving in",0,0
"Cell Phone",236,236
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",217,217
"Equipment (Other)",10,10
"Fail to Keep Right",0,0
"Fail to Signal",19,19
"Fail to Stop on Signal",32,32
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",166,166
"Improper Lights",6,6
"Improper Passing",0,0
"Improper Turn",197,197
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",86,86
"Not Giving R of W to Veh.",0,0
"One Way Street",4,4
"Pavement Markings",7,7
"Safety Belt",229,229
"School Bus, Passing Stopped",0,0
Speeding,2,2
Spillback,108,108
"Tinted Windows",26,26
"Truck Routes",15,15
U-Turn,28,28
Uninspected,0,0
Uninsured,69,69
"Unlicensed Operator",43,43
Unregistered,27,27
"Unsafe Lane Change",9,9
"Other Movers
TOTAL Movers","99
1685",99
,,1685
"* All figures are preliminary and subject to change.",,
