"Moving Violations",,
"123rd Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,1
"Brake Lights (Defect.or  Improper)",54,54
"Bus Lane, Driving in",0,0
"Cell Phone",30,30
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",55,55
"Equipment (Other)",1,1
"Fail to Keep Right",0,0
"Fail to Signal",0,0
"Fail to Stop on Signal",20,20
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",73,73
"Improper Lights",5,5
"Improper Passing",2,2
"Improper Turn",18,18
"Improper/Missing Plates",10,10
"Not Giving R of W to Pedes.",0,0
"Not Giving R of W to Veh.",2,2
"One Way Street",0,0
"Pavement Markings",11,11
"Safety Belt",49,49
"School Bus, Passing Stopped",1,1
Speeding,275,275
Spillback,0,0
"Tinted Windows",62,62
"Truck Routes",1,1
U-Turn,0,0
Uninspected,42,42
Uninsured,76,76
"Unlicensed Operator",69,69
Unregistered,6,6
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","14
878",14
,,878
"* All figures are preliminary and subject to change.",,
