"Moving Violations",,
"101st Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,1
"Brake Lights (Defect.or  Improper)",80,80
"Bus Lane, Driving in",0,0
"Cell Phone",37,37
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",89,89
"Equipment (Other)",31,31
"Fail to Keep Right",0,0
"Fail to Signal",4,4
"Fail to Stop on Signal",23,23
"Following Too Closely",3,3
"Headlights (Defect. or Improper)",142,142
"Improper Lights",1,1
"Improper Passing",6,6
"Improper Turn",7,7
"Improper/Missing Plates",4,4
"Not Giving R of W to Pedes.",9,9
"Not Giving R of W to Veh.",1,1
"One Way Street",1,1
"Pavement Markings",6,6
"Safety Belt",49,49
"School Bus, Passing Stopped",0,0
Speeding,24,24
Spillback,0,0
"Tinted Windows",145,145
"Truck Routes",0,0
U-Turn,1,1
Uninspected,33,33
Uninsured,252,252
"Unlicensed Operator",175,175
Unregistered,28,28
"Unsafe Lane Change",1,1
"Other Movers
TOTAL Movers","25
1178",25
,,1178
"* All figures are preliminary and subject to change.",,
