"Moving Violations",,
"81st Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
3","YTD 2014"
,,3
"Brake Lights (Defect.or  Improper)",101,101
"Bus Lane, Driving in",0,0
"Cell Phone",184,184
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",61,61
"Equipment (Other)",0,0
"Fail to Keep Right",1,1
"Fail to Signal",30,30
"Fail to Stop on Signal",60,60
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",160,160
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",0,0
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",26,26
"Not Giving R of W to Veh.",3,3
"One Way Street",3,3
"Pavement Markings",9,9
"Safety Belt",161,161
"School Bus, Passing Stopped",0,0
Speeding,14,14
Spillback,0,0
"Tinted Windows",148,148
"Truck Routes",0,0
U-Turn,4,4
Uninspected,1,1
Uninsured,93,93
"Unlicensed Operator",61,61
Unregistered,14,14
"Unsafe Lane Change",3,3
"Other Movers
TOTAL Movers","19
1159",19
,,1159
"* All figures are preliminary and subject to change.",,
