"Moving Violations",,
"94th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,0
"Brake Lights (Defect.or  Improper)",19,19
"Bus Lane, Driving in",0,0
"Cell Phone",99,99
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",121,121
"Equipment (Other)",2,2
"Fail to Keep Right",1,1
"Fail to Signal",20,20
"Fail to Stop on Signal",74,74
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",23,23
"Improper Lights",0,0
"Improper Passing",4,4
"Improper Turn",12,12
"Improper/Missing Plates",2,2
"Not Giving R of W to Pedes.",4,4
"Not Giving R of W to Veh.",4,4
"One Way Street",10,10
"Pavement Markings",12,12
"Safety Belt",70,70
"School Bus, Passing Stopped",0,0
Speeding,60,60
Spillback,0,0
"Tinted Windows",58,58
"Truck Routes",3,3
U-Turn,2,2
Uninspected,2,2
Uninsured,21,21
"Unlicensed Operator",36,36
Unregistered,4,4
"Unsafe Lane Change",0,0
"Other Movers
TOTAL Movers","76
739",76
,,739
"* All figures are preliminary and subject to change.",,
