"Moving Violations",,
"90th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
1","YTD 2014"
,,1
"Brake Lights (Defect.or  Improper)",31,31
"Bus Lane, Driving in",0,0
"Cell Phone",118,118
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",73,73
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",20,20
"Fail to Stop on Signal",81,81
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",31,31
"Improper Lights",3,3
"Improper Passing",1,1
"Improper Turn",47,47
"Improper/Missing Plates",7,7
"Not Giving R of W to Pedes.",4,4
"Not Giving R of W to Veh.",4,4
"One Way Street",40,40
"Pavement Markings",2,2
"Safety Belt",152,152
"School Bus, Passing Stopped",0,0
Speeding,31,31
Spillback,0,0
"Tinted Windows",16,16
"Truck Routes",6,6
U-Turn,3,3
Uninspected,8,8
Uninsured,87,87
"Unlicensed Operator",49,49
Unregistered,7,7
"Unsafe Lane Change",1,1
"Other Movers
TOTAL Movers","50
873",50
,,873
"* All figures are preliminary and subject to change.",,
