"Moving Violations",,
"102nd Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,0
"Brake Lights (Defect.or  Improper)",48,48
"Bus Lane, Driving in",0,0
"Cell Phone",64,64
"Commercial Veh on Pkwy",0,0
"Defective Brakes",6,6
"Disobey Sign",130,130
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",17,17
"Fail to Stop on Signal",47,47
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",25,25
"Improper Lights",2,2
"Improper Passing",1,1
"Improper Turn",30,30
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",19,19
"Not Giving R of W to Veh.",7,7
"One Way Street",2,2
"Pavement Markings",2,2
"Safety Belt",128,128
"School Bus, Passing Stopped",0,0
Speeding,3,3
Spillback,2,2
"Tinted Windows",33,33
"Truck Routes",0,0
U-Turn,8,8
Uninspected,5,5
Uninsured,58,58
"Unlicensed Operator",44,44
Unregistered,12,12
"Unsafe Lane Change",10,10
"Other Movers
TOTAL Movers","44
749",44
,,749
"* All figures are preliminary and subject to change.",,
