"Moving Violations",,
"63rd Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,0
"Brake Lights (Defect.or  Improper)",6,6
"Bus Lane, Driving in",0,0
"Cell Phone",45,45
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",161,161
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",5,5
"Fail to Stop on Signal",27,27
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",27,27
"Improper Lights",0,0
"Improper Passing",5,5
"Improper Turn",23,23
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",5,5
"Not Giving R of W to Veh.",0,0
"One Way Street",1,1
"Pavement Markings",4,4
"Safety Belt",34,34
"School Bus, Passing Stopped",0,0
Speeding,35,35
Spillback,2,2
"Tinted Windows",44,44
"Truck Routes",0,0
U-Turn,3,3
Uninspected,2,2
Uninsured,31,31
"Unlicensed Operator",15,15
Unregistered,7,7
"Unsafe Lane Change",5,5
"Other Movers
TOTAL Movers","39
527",39
,,527
"* All figures are preliminary and subject to change.",,
