"Moving Violations",,
"28th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
2","YTD 2014"
,,2
"Brake Lights (Defect.or  Improper)",24,24
"Bus Lane, Driving in",0,0
"Cell Phone",131,131
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",103,103
"Equipment (Other)",6,6
"Fail to Keep Right",3,3
"Fail to Signal",6,6
"Fail to Stop on Signal",56,56
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",8,8
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",99,99
"Improper/Missing Plates",1,1
"Not Giving R of W to Pedes.",49,49
"Not Giving R of W to Veh.",1,1
"One Way Street",4,4
"Pavement Markings",1,1
"Safety Belt",91,91
"School Bus, Passing Stopped",3,3
Speeding,46,46
Spillback,1,1
"Tinted Windows",34,34
"Truck Routes",8,8
U-Turn,44,44
Uninspected,17,17
Uninsured,13,13
"Unlicensed Operator",17,17
Unregistered,3,3
"Unsafe Lane Change",4,4
"Other Movers
TOTAL Movers","34
809",34
,,809
"* All figures are preliminary and subject to change.",,
