"Moving Violations",,
"70th Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
2","YTD 2014"
,,2
"Brake Lights (Defect.or  Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",103,103
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",132,132
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",0,0
"Fail to Stop on Signal",62,62
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,0
"Improper Lights",67,67
"Improper Passing",14,14
"Improper Turn",316,316
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",39,39
"Not Giving R of W to Veh.",4,4
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",131,131
"School Bus, Passing Stopped",1,1
Speeding,24,24
Spillback,2,2
"Tinted Windows",60,60
"Truck Routes",0,0
U-Turn,0,0
Uninspected,0,0
Uninsured,219,219
"Unlicensed Operator",73,73
Unregistered,17,17
"Unsafe Lane Change",7,7
"Other Movers
TOTAL Movers","19
1292",19
,,1292
"* All figures are preliminary and subject to change.",,
