"Moving Violations",,
"Central Park Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
0","YTD 2014"
,,0
"Brake Lights (Defect.or  Improper)",17,17
"Bus Lane, Driving in",0,0
"Cell Phone",56,56
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",50,50
"Equipment (Other)",5,5
"Fail to Keep Right",0,0
"Fail to Signal",8,8
"Fail to Stop on Signal",23,23
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",29,29
"Improper Lights",0,0
"Improper Passing",11,11
"Improper Turn",73,73
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",2,2
"Not Giving R of W to Veh.",0,0
"One Way Street",2,2
"Pavement Markings",30,30
"Safety Belt",7,7
"School Bus, Passing Stopped",0,0
Speeding,0,0
Spillback,0,0
"Tinted Windows",23,23
"Truck Routes",0,0
U-Turn,2,2
Uninspected,19,19
Uninsured,14,14
"Unlicensed Operator",13,13
Unregistered,6,6
"Unsafe Lane Change",3,3
"Other Movers
TOTAL Movers","3
396",3
,,396
"* All figures are preliminary and subject to change.",,
