"Moving Violations",,
"83rd Precinct",,
January,,
"Offense Description
Backing Unsafely","MTD 2014
7","YTD 2014"
,,7
"Brake Lights (Defect.or  Improper)",45,45
"Bus Lane, Driving in",0,0
"Cell Phone",131,131
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",288,288
"Equipment (Other)",5,5
"Fail to Keep Right",4,4
"Fail to Signal",48,48
"Fail to Stop on Signal",68,68
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",39,39
"Improper Lights",1,1
"Improper Passing",2,2
"Improper Turn",18,18
"Improper/Missing Plates",3,3
"Not Giving R of W to Pedes.",11,11
"Not Giving R of W to Veh.",3,3
"One Way Street",5,5
"Pavement Markings",9,9
"Safety Belt",61,61
"School Bus, Passing Stopped",0,0
Speeding,3,3
Spillback,0,0
"Tinted Windows",43,43
"Truck Routes",3,3
U-Turn,1,1
Uninspected,8,8
Uninsured,80,80
"Unlicensed Operator",119,119
Unregistered,18,18
"Unsafe Lane Change",1,1
"Other Movers
TOTAL Movers","9
1033",9
,,1033
"* All figures are preliminary and subject to change.",,
