"Moving Violations",,
"32nd Precinct",,
"    June ",,
032sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",4,34
"Brake Lights (Defect.or Improper)",43,238
"Bus Lane, Driving in",0,0
"Cell Phone",58,370
"Commercial Veh on Pkwy",0,5
"Defective Brakes",0,6
"Disobey Sign",127,513
"Equipment (Other)",11,54
"Fail to Keep Right",0,2
"Fail to Signal",82,516
"Fail to Stop on Signal",23,145
"Following Too Closely",0,4
"Headlights (Defect. or Improper)",27,310
"Improper Lights",0,6
"Improper Passing",0,1
"Improper Turn",29,229
"Improper/Missing Plates",0,6
"Not Giving R of W to Pedes.",17,189
"Not Giving R of W to Veh.",1,17
"One Way Street",3,8
"Pavement Markings",192,892
"Safety Belt",63,276
"School Bus, Passing Stopped",1,15
Speeding,10,128
Spillback,2,14
"Tinted Windows",19,327
"Truck Routes",1,21
U-Turn,4,85
Uninspected,8,23
Uninsured,47,306
"Unlicensed Operator",45,229
Unregistered,12,66
"Unsafe Lane Change",2,20
"Other Movers",44,203
"032    TOTAL Movers ",875,5258
"* All figures are preliminary and subject to change.",,
