"Moving Violations",,
"115th Precinct",,
"    June ",,
115sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,16
"Brake Lights (Defect.or Improper)",0,1
"Bus Lane, Driving in",0,0
"Cell Phone",57,493
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",124,1065
"Equipment (Other)",18,129
"Fail to Keep Right",0,0
"Fail to Signal",18,146
"Fail to Stop on Signal",56,460
"Following Too Closely",1,1
"Headlights (Defect. or Improper)",0,8
"Improper Lights",99,843
"Improper Passing",3,31
"Improper Turn",151,677
"Improper/Missing Plates",9,68
"Not Giving R of W to Pedes.",26,341
"Not Giving R of W to Veh.",3,16
"One Way Street",14,34
"Pavement Markings",9,50
"Safety Belt",168,1340
"School Bus, Passing Stopped",2,18
Speeding,27,149
Spillback,5,11
"Tinted Windows",93,924
"Truck Routes",15,113
U-Turn,0,8
Uninspected,24,214
Uninsured,170,1662
"Unlicensed Operator",321,2692
Unregistered,17,198
"Unsafe Lane Change",0,2
"Other Movers",54,609
"115    TOTAL Movers ",1486,12319
"* All figures are preliminary and subject to change.",,
