"Moving Violations",,
"Midtown North Precinct",,
"    June ",,
018sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",1,8
"Brake Lights (Defect.or Improper)",18,145
"Bus Lane, Driving in",8,33
"Cell Phone",234,1212
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",73,683
"Equipment (Other)",3,7
"Fail to Keep Right",0,3
"Fail to Signal",23,129
"Fail to Stop on Signal",90,433
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",22,182
"Improper Lights",0,0
"Improper Passing",0,1
"Improper Turn",236,1949
"Improper/Missing Plates",3,36
"Not Giving R of W to Pedes.",12,120
"Not Giving R of W to Veh.",1,3
"One Way Street",3,55
"Pavement Markings",12,95
"Safety Belt",226,1041
"School Bus, Passing Stopped",0,11
Speeding,0,29
Spillback,15,74
"Tinted Windows",9,99
"Truck Routes",15,15
U-Turn,12,78
Uninspected,6,23
Uninsured,57,359
"Unlicensed Operator",27,157
Unregistered,8,110
"Unsafe Lane Change",3,30
"Other Movers",35,205
"018    TOTAL Movers ",1152,7326
"* All figures are preliminary and subject to change.",,
