66th Precinct,,
    June ,,
066sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,3
Brake Lights (Defect.or Improper),2,40
"Bus Lane, Driving in",0,0
Cell Phone,89,817
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,73,553
Equipment (Other),0,0
Fail to Keep Right,0,0
Fail to Signal,67,430
Fail to Stop on Signal,33,151
Following Too Closely,0,0
Headlights (Defect. or Improper),2,11
Improper Lights,0,0
Improper Passing,1,5
Improper Turn,3,40
Improper/Missing Plates,1,7
Not Giving R of W to Pedes.,30,171
Not Giving R of W to Veh.,0,3
One Way Street,0,1
Pavement Markings,0,1
Safety Belt,145,915
"School Bus, Passing Stopped",2,33
Speeding,17,158
Spillback,0,2
Tinted Windows,44,343
Truck Routes,18,149
U-Turn,4,16
Uninspected,1,35
Uninsured,46,291
Unlicensed Operator,41,274
Unregistered,12,60
Unsafe Lane Change,0,3
Other Movers,44,327
066    TOTAL Movers ,675,4839
