"Moving Violations",,
"103rd Precinct",,
"    June ",,
103sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",9,36
"Brake Lights (Defect.or Improper)",2,19
"Bus Lane, Driving in",0,0
"Cell Phone",167,1054
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,1
"Disobey Sign",429,2436
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",18,133
"Fail to Stop on Signal",24,191
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",0,11
"Improper Lights",0,9
"Improper Passing",1,8
"Improper Turn",70,482
"Improper/Missing Plates",6,54
"Not Giving R of W to Pedes.",71,451
"Not Giving R of W to Veh.",3,22
"One Way Street",3,13
"Pavement Markings",42,220
"Safety Belt",350,1664
"School Bus, Passing Stopped",1,18
Speeding,28,133
Spillback,6,52
"Tinted Windows",121,1683
"Truck Routes",4,66
U-Turn,65,496
Uninspected,5,48
Uninsured,15,122
"Unlicensed Operator",115,686
Unregistered,4,46
"Unsafe Lane Change",0,11
"Other Movers",110,778
"103    TOTAL Movers ",1669,10943
"* All figures are preliminary and subject to change.",,
