"Moving Violations",,
Citywide,,
"    June ",,
citysum,,
"Offense Description","MTD 2014  ","YTD 2014  "
"Backing Unsafely",149,1090
"Brake Lights (Defect.or Improper)",1586,13114
"Bus Lane, Driving in",168,1463
"Cell Phone",9449,61069
"Commercial Veh on Pkwy",114,686
"Defective Brakes",16,153
"Disobey Sign",12536,82618
"Equipment (Other)",964,5045
"Fail to Keep Right",23,151
"Fail to Signal",1808,11569
"Fail to Stop on Signal",4737,26749
"Following Too Closely",98,669
"Headlights (Defect. or Improper)",1195,12828
"Improper Lights",273,2213
"Improper Passing",495,2418
"Improper Turn",6398,40369
"Improper/Missing Plates",348,1830
"Not Giving R of W to Pedes.",2822,17601
"Not Giving R of W to Veh.",249,1658
"One Way Street",369,2042
"Pavement Markings",2977,16247
"Safety Belt",9900,55749
"School Bus, Passing Stopped",80,1899
Speeding,8733,54854
Spillback,373,2454
"Tinted Windows",4510,41147
"Truck Routes",369,2749
U-Turn,506,4030
Uninspected,480,3756
Uninsured,3787,27510
"Unlicensed Operator",4811,30897
Unregistered,1085,6688
"Unsafe Lane Change",487,2813
"Other Movers",5956,35164
"TOTAL Movers ",87851,571292
,,
"* All figures are preliminary and subject to change.",,
