33rd Precinct,,
    June ,,
033sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,15
Brake Lights (Defect.or Improper),27,199
"Bus Lane, Driving in",0,0
Cell Phone,59,600
Commercial Veh on Pkwy,0,6
Defective Brakes,0,1
Disobey Sign,35,285
Equipment (Other),2,13
Fail to Keep Right,1,3
Fail to Signal,8,79
Fail to Stop on Signal,32,182
Following Too Closely,0,0
Headlights (Defect. or Improper),5,69
Improper Lights,0,3
Improper Passing,0,0
Improper Turn,32,165
Improper/Missing Plates,3,25
Not Giving R of W to Pedes.,27,208
Not Giving R of W to Veh.,1,6
One Way Street,1,18
Pavement Markings,1,11
Safety Belt,61,420
"School Bus, Passing Stopped",2,17
Speeding,22,257
Spillback,1,2
Tinted Windows,5,90
Truck Routes,24,90
U-Turn,3,77
Uninspected,1,12
Uninsured,12,155
Unlicensed Operator,27,118
Unregistered,5,57
Unsafe Lane Change,1,13
Other Movers,54,336
033    TOTAL Movers ,454,3532
