46th Precinct,,
    June ,,
046sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,7,30
Brake Lights (Defect.or Improper),30,251
"Bus Lane, Driving in",2,28
Cell Phone,68,360
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,174,944
Equipment (Other),0,89
Fail to Keep Right,0,0
Fail to Signal,26,131
Fail to Stop on Signal,49,250
Following Too Closely,0,0
Headlights (Defect. or Improper),11,164
Improper Lights,1,1
Improper Passing,1,9
Improper Turn,76,145
Improper/Missing Plates,0,18
Not Giving R of W to Pedes.,40,199
Not Giving R of W to Veh.,6,19
One Way Street,1,41
Pavement Markings,20,76
Safety Belt,52,223
"School Bus, Passing Stopped",0,20
Speeding,84,363
Spillback,0,2
Tinted Windows,180,980
Truck Routes,0,10
U-Turn,39,205
Uninspected,8,15
Uninsured,93,716
Unlicensed Operator,56,295
Unregistered,21,120
Unsafe Lane Change,5,13
Other Movers,109,646
046    TOTAL Movers ,1159,6363
