72nd Precinct,,
    June ,,
072sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,4,16
Brake Lights (Defect.or Improper),1,16
"Bus Lane, Driving in",0,0
Cell Phone,76,443
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,98,638
Equipment (Other),0,1
Fail to Keep Right,0,0
Fail to Signal,3,57
Fail to Stop on Signal,94,559
Following Too Closely,11,34
Headlights (Defect. or Improper),0,37
Improper Lights,0,1
Improper Passing,1,10
Improper Turn,45,229
Improper/Missing Plates,2,72
Not Giving R of W to Pedes.,38,192
Not Giving R of W to Veh.,0,35
One Way Street,1,22
Pavement Markings,48,411
Safety Belt,69,375
"School Bus, Passing Stopped",0,25
Speeding,37,213
Spillback,4,9
Tinted Windows,21,231
Truck Routes,10,23
U-Turn,20,157
Uninspected,2,22
Uninsured,31,301
Unlicensed Operator,58,378
Unregistered,18,104
Unsafe Lane Change,19,69
Other Movers,40,285
072    TOTAL Movers ,751,4965
