120th Precinct,,
    June ,,
120sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,11
Brake Lights (Defect.or Improper),27,321
"Bus Lane, Driving in",1,1
Cell Phone,120,644
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,180,1055
Equipment (Other),13,99
Fail to Keep Right,0,6
Fail to Signal,32,361
Fail to Stop on Signal,45,413
Following Too Closely,0,7
Headlights (Defect. or Improper),22,297
Improper Lights,0,3
Improper Passing,3,20
Improper Turn,8,47
Improper/Missing Plates,10,83
Not Giving R of W to Pedes.,34,204
Not Giving R of W to Veh.,8,25
One Way Street,3,12
Pavement Markings,69,394
Safety Belt,135,661
"School Bus, Passing Stopped",0,25
Speeding,101,487
Spillback,0,5
Tinted Windows,32,240
Truck Routes,0,1
U-Turn,0,21
Uninspected,9,119
Uninsured,45,349
Unlicensed Operator,140,829
Unregistered,17,160
Unsafe Lane Change,1,9
Other Movers,114,746
120    TOTAL Movers ,1170,7655
