"Moving Violations",,
"50th Precinct",,
"    June ",,
050sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,3
"Brake Lights (Defect.or Improper)",6,62
"Bus Lane, Driving in",0,0
"Cell Phone",34,348
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,0
"Disobey Sign",87,1204
"Equipment (Other)",0,5
"Fail to Keep Right",0,4
"Fail to Signal",2,19
"Fail to Stop on Signal",8,65
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",5,83
"Improper Lights",0,0
"Improper Passing",0,1
"Improper Turn",82,429
"Improper/Missing Plates",0,3
"Not Giving R of W to Pedes.",33,164
"Not Giving R of W to Veh.",0,2
"One Way Street",1,5
"Pavement Markings",0,8
"Safety Belt",26,199
"School Bus, Passing Stopped",0,12
Speeding,15,188
Spillback,0,2
"Tinted Windows",77,424
"Truck Routes",0,0
U-Turn,1,9
Uninspected,0,3
Uninsured,16,94
"Unlicensed Operator",16,99
Unregistered,9,39
"Unsafe Lane Change",0,13
"Other Movers",14,116
"050    TOTAL Movers ",432,3605
"* All figures are preliminary and subject to change.",,
