"Moving Violations",,
"71st Precinct",,
"    June ",,
071sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",10,45
"Brake Lights (Defect.or Improper)",27,166
"Bus Lane, Driving in",11,118
"Cell Phone",144,942
"Commercial Veh on Pkwy",0,3
"Defective Brakes",0,1
"Disobey Sign",278,1926
"Equipment (Other)",19,90
"Fail to Keep Right",0,0
"Fail to Signal",39,353
"Fail to Stop on Signal",94,601
"Following Too Closely",0,5
"Headlights (Defect. or Improper)",9,87
"Improper Lights",0,3
"Improper Passing",0,29
"Improper Turn",66,478
"Improper/Missing Plates",4,92
"Not Giving R of W to Pedes.",42,375
"Not Giving R of W to Veh.",14,125
"One Way Street",1,55
"Pavement Markings",76,485
"Safety Belt",91,554
"School Bus, Passing Stopped",2,18
Speeding,38,180
Spillback,4,37
"Tinted Windows",84,945
"Truck Routes",7,76
U-Turn,1,37
Uninspected,28,295
Uninsured,82,597
"Unlicensed Operator",76,536
Unregistered,31,170
"Unsafe Lane Change",5,18
"Other Movers",37,349
"071    TOTAL Movers ",1320,9791
"* All figures are preliminary and subject to change.",,
