34th Precinct,,
    June ,,
034sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,1
Brake Lights (Defect.or Improper),2,38
"Bus Lane, Driving in",0,0
Cell Phone,36,327
Commercial Veh on Pkwy,1,3
Defective Brakes,0,0
Disobey Sign,185,873
Equipment (Other),0,7
Fail to Keep Right,0,8
Fail to Signal,8,22
Fail to Stop on Signal,25,99
Following Too Closely,0,0
Headlights (Defect. or Improper),0,30
Improper Lights,0,7
Improper Passing,0,5
Improper Turn,65,267
Improper/Missing Plates,1,14
Not Giving R of W to Pedes.,15,120
Not Giving R of W to Veh.,1,3
One Way Street,1,3
Pavement Markings,7,59
Safety Belt,38,244
"School Bus, Passing Stopped",0,13
Speeding,0,48
Spillback,0,2
Tinted Windows,8,42
Truck Routes,0,13
U-Turn,0,15
Uninspected,2,6
Uninsured,14,46
Unlicensed Operator,34,137
Unregistered,1,14
Unsafe Lane Change,0,0
Other Movers,38,162
034    TOTAL Movers ,482,2628
