13th Precinct,,
    June ,,
013sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,0,6
Brake Lights (Defect.or Improper),11,63
"Bus Lane, Driving in",0,13
Cell Phone,106,464
Commercial Veh on Pkwy,0,0
Defective Brakes,0,7
Disobey Sign,161,1129
Equipment (Other),5,14
Fail to Keep Right,0,1
Fail to Signal,14,45
Fail to Stop on Signal,81,445
Following Too Closely,5,10
Headlights (Defect. or Improper),8,55
Improper Lights,0,0
Improper Passing,1,10
Improper Turn,103,821
Improper/Missing Plates,1,9
Not Giving R of W to Pedes.,23,204
Not Giving R of W to Veh.,0,5
One Way Street,4,50
Pavement Markings,15,111
Safety Belt,44,181
"School Bus, Passing Stopped",0,4
Speeding,12,46
Spillback,54,348
Tinted Windows,10,42
Truck Routes,0,17
U-Turn,1,6
Uninspected,0,4
Uninsured,34,203
Unlicensed Operator,24,125
Unregistered,3,36
Unsafe Lane Change,8,42
Other Movers,44,194
013    TOTAL Movers ,772,4710
