79th Precinct,,
    June ,,
079sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,5,25
Brake Lights (Defect.or Improper),16,280
"Bus Lane, Driving in",0,0
Cell Phone,109,811
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,186,1248
Equipment (Other),0,2
Fail to Keep Right,0,0
Fail to Signal,0,0
Fail to Stop on Signal,100,517
Following Too Closely,0,5
Headlights (Defect. or Improper),51,550
Improper Lights,0,0
Improper Passing,53,175
Improper Turn,28,257
Improper/Missing Plates,5,27
Not Giving R of W to Pedes.,29,143
Not Giving R of W to Veh.,7,15
One Way Street,1,8
Pavement Markings,11,81
Safety Belt,69,427
"School Bus, Passing Stopped",2,39
Speeding,37,298
Spillback,3,54
Tinted Windows,28,264
Truck Routes,2,25
U-Turn,20,100
Uninspected,4,42
Uninsured,23,202
Unlicensed Operator,27,266
Unregistered,19,114
Unsafe Lane Change,0,0
Other Movers,48,229
079    TOTAL Movers ,883,6204
