"Moving Violations",,
"Staten Island",,
"    June ",,
pbsisum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",6,33
"Brake Lights (Defect.or Improper)",126,1077
"Bus Lane, Driving in",20,76
"Cell Phone",401,2184
"Commercial Veh on Pkwy",3,15
"Defective Brakes",0,5
"Disobey Sign",763,4464
"Equipment (Other)",40,251
"Fail to Keep Right",0,16
"Fail to Signal",211,1352
"Fail to Stop on Signal",170,1116
"Following Too Closely",16,66
"Headlights (Defect. or Improper)",127,999
"Improper Lights",15,61
"Improper Passing",21,93
"Improper Turn",56,300
"Improper/Missing Plates",49,270
"Not Giving R of W to Pedes.",54,342
"Not Giving R of W to Veh.",19,117
"One Way Street",12,54
"Pavement Markings",303,1861
"Safety Belt",598,2547
"School Bus, Passing Stopped",8,82
Speeding,616,3278
Spillback,1,28
"Tinted Windows",151,1097
"Truck Routes",4,65
U-Turn,18,154
Uninspected,39,404
Uninsured,259,1863
"Unlicensed Operator",394,2423
Unregistered,54,404
"Unsafe Lane Change",15,79
"Other Movers",369,1824
"PBSI   TOTAL Movers ",4938,29000
"* All figures are preliminary and subject to change.",,
