"Moving Violations",,
"75th Precinct",,
"    June ",,
075sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",6,31
"Brake Lights (Defect.or Improper)",18,168
"Bus Lane, Driving in",0,0
"Cell Phone",132,876
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",135,589
"Equipment (Other)",3,23
"Fail to Keep Right",0,2
"Fail to Signal",40,276
"Fail to Stop on Signal",93,462
"Following Too Closely",3,12
"Headlights (Defect. or Improper)",34,190
"Improper Lights",0,1
"Improper Passing",13,49
"Improper Turn",65,361
"Improper/Missing Plates",3,26
"Not Giving R of W to Pedes.",65,184
"Not Giving R of W to Veh.",6,38
"One Way Street",5,9
"Pavement Markings",129,466
"Safety Belt",318,1651
"School Bus, Passing Stopped",0,21
Speeding,29,212
Spillback,2,22
"Tinted Windows",194,1770
"Truck Routes",0,7
U-Turn,2,11
Uninspected,17,153
Uninsured,104,588
"Unlicensed Operator",145,810
Unregistered,44,265
"Unsafe Lane Change",5,19
"Other Movers",268,2262
"075    TOTAL Movers ",1878,11554
"* All figures are preliminary and subject to change.",,
