"Moving Violations",,
"62nd Precinct",,
"    June ",,
062sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,8
"Brake Lights (Defect.or Improper)",7,63
"Bus Lane, Driving in",0,0
"Cell Phone",65,523
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",150,1324
"Equipment (Other)",8,16
"Fail to Keep Right",0,2
"Fail to Signal",18,170
"Fail to Stop on Signal",67,442
"Following Too Closely",0,3
"Headlights (Defect. or Improper)",0,26
"Improper Lights",4,32
"Improper Passing",16,60
"Improper Turn",18,153
"Improper/Missing Plates",14,44
"Not Giving R of W to Pedes.",26,223
"Not Giving R of W to Veh.",2,48
"One Way Street",18,89
"Pavement Markings",21,112
"Safety Belt",108,641
"School Bus, Passing Stopped",0,19
Speeding,20,161
Spillback,0,3
"Tinted Windows",52,460
"Truck Routes",1,11
U-Turn,3,52
Uninspected,2,6
Uninsured,35,274
"Unlicensed Operator",43,321
Unregistered,9,67
"Unsafe Lane Change",4,38
"Other Movers",38,292
"062    TOTAL Movers ",749,5683
"* All figures are preliminary and subject to change.",,
