101st Precinct,,
    June ,,
101sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,20
Brake Lights (Defect.or Improper),71,565
"Bus Lane, Driving in",0,0
Cell Phone,94,343
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,103,617
Equipment (Other),7,124
Fail to Keep Right,0,0
Fail to Signal,10,39
Fail to Stop on Signal,47,197
Following Too Closely,1,5
Headlights (Defect. or Improper),68,790
Improper Lights,2,7
Improper Passing,3,21
Improper Turn,16,79
Improper/Missing Plates,4,25
Not Giving R of W to Pedes.,12,83
Not Giving R of W to Veh.,2,6
One Way Street,3,7
Pavement Markings,4,31
Safety Belt,48,419
"School Bus, Passing Stopped",2,14
Speeding,47,268
Spillback,0,0
Tinted Windows,83,706
Truck Routes,0,4
U-Turn,2,5
Uninspected,10,133
Uninsured,72,1360
Unlicensed Operator,87,982
Unregistered,11,115
Unsafe Lane Change,0,2
Other Movers,42,220
101    TOTAL Movers ,853,7187
