"Moving Violations",,
"20th Precinct",,
"    June ",,
020sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,4
"Brake Lights (Defect.or Improper)",12,108
"Bus Lane, Driving in",0,0
"Cell Phone",264,1414
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,0
"Disobey Sign",239,1070
"Equipment (Other)",11,61
"Fail to Keep Right",0,1
"Fail to Signal",23,139
"Fail to Stop on Signal",59,363
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",5,82
"Improper Lights",0,0
"Improper Passing",0,0
"Improper Turn",53,339
"Improper/Missing Plates",1,6
"Not Giving R of W to Pedes.",7,111
"Not Giving R of W to Veh.",1,10
"One Way Street",12,94
"Pavement Markings",5,10
"Safety Belt",88,559
"School Bus, Passing Stopped",3,43
Speeding,18,64
Spillback,0,0
"Tinted Windows",17,68
"Truck Routes",20,140
U-Turn,2,25
Uninspected,1,6
Uninsured,19,131
"Unlicensed Operator",24,125
Unregistered,2,25
"Unsafe Lane Change",6,32
"Other Movers",41,252
"020    TOTAL Movers ",933,5284
"* All figures are preliminary and subject to change.",,
