"Moving Violations",,
"78th Precinct",,
"    June ",,
078sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,14
"Brake Lights (Defect.or Improper)",6,77
"Bus Lane, Driving in",0,0
"Cell Phone",114,796
"Commercial Veh on Pkwy",0,15
"Defective Brakes",0,3
"Disobey Sign",99,564
"Equipment (Other)",0,3
"Fail to Keep Right",0,0
"Fail to Signal",30,147
"Fail to Stop on Signal",187,810
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",5,147
"Improper Lights",0,11
"Improper Passing",6,21
"Improper Turn",38,125
"Improper/Missing Plates",0,4
"Not Giving R of W to Pedes.",16,176
"Not Giving R of W to Veh.",0,10
"One Way Street",1,5
"Pavement Markings",21,87
"Safety Belt",80,579
"School Bus, Passing Stopped",1,4
Speeding,28,206
Spillback,13,82
"Tinted Windows",76,238
"Truck Routes",4,44
U-Turn,21,187
Uninspected,1,4
Uninsured,19,155
"Unlicensed Operator",20,156
Unregistered,2,24
"Unsafe Lane Change",1,15
"Other Movers",22,120
"078    TOTAL Movers ",811,4830
"* All figures are preliminary and subject to change.",,
