"Moving Violations",,
"Manhattan North",,
"    June ",,
pbmnsum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",13,113
"Brake Lights (Defect.or Improper)",246,2015
"Bus Lane, Driving in",9,44
"Cell Phone",1347,9395
"Commercial Veh on Pkwy",5,24
"Defective Brakes",4,31
"Disobey Sign",1600,8113
"Equipment (Other)",169,421
"Fail to Keep Right",10,28
"Fail to Signal",238,1491
"Fail to Stop on Signal",479,3075
"Following Too Closely",1,13
"Headlights (Defect. or Improper)",128,1470
"Improper Lights",0,23
"Improper Passing",19,102
"Improper Turn",1188,7008
"Improper/Missing Plates",44,148
"Not Giving R of W to Pedes.",380,2923
"Not Giving R of W to Veh.",45,141
"One Way Street",77,380
"Pavement Markings",411,2033
"Safety Belt",767,4761
"School Bus, Passing Stopped",9,201
Speeding,298,1978
Spillback,15,60
"Tinted Windows",216,1909
"Truck Routes",131,671
U-Turn,87,963
Uninspected,35,279
Uninsured,274,1864
"Unlicensed Operator",354,1850
Unregistered,116,679
"Unsafe Lane Change",60,329
"Other Movers",526,2659
"PBMN   TOTAL Movers ",9301,57194
"* All figures are preliminary and subject to change.",,
