23rd Precinct,,
    June ,,
023sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,2,9
Brake Lights (Defect.or Improper),16,179
"Bus Lane, Driving in",1,2
Cell Phone,180,1219
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,83,349
Equipment (Other),37,64
Fail to Keep Right,0,0
Fail to Signal,11,77
Fail to Stop on Signal,49,261
Following Too Closely,0,0
Headlights (Defect. or Improper),13,156
Improper Lights,0,0
Improper Passing,3,13
Improper Turn,46,291
Improper/Missing Plates,6,8
Not Giving R of W to Pedes.,52,275
Not Giving R of W to Veh.,0,0
One Way Street,18,38
Pavement Markings,0,5
Safety Belt,75,650
"School Bus, Passing Stopped",0,11
Speeding,36,105
Spillback,0,0
Tinted Windows,11,117
Truck Routes,11,28
U-Turn,0,1
Uninspected,0,0
Uninsured,8,44
Unlicensed Operator,13,79
Unregistered,5,14
Unsafe Lane Change,4,16
Other Movers,20,117
023    TOTAL Movers ,700,4128
