"Moving Violations",,
"94th Precinct",,
"    June ",,
094sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,5
"Brake Lights (Defect.or Improper)",1,49
"Bus Lane, Driving in",0,1
"Cell Phone",64,506
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,1
"Disobey Sign",86,810
"Equipment (Other)",13,42
"Fail to Keep Right",0,1
"Fail to Signal",7,42
"Fail to Stop on Signal",83,460
"Following Too Closely",0,0
"Headlights (Defect. or Improper)",10,112
"Improper Lights",0,0
"Improper Passing",7,25
"Improper Turn",79,243
"Improper/Missing Plates",0,7
"Not Giving R of W to Pedes.",15,72
"Not Giving R of W to Veh.",1,45
"One Way Street",14,67
"Pavement Markings",3,50
"Safety Belt",91,501
"School Bus, Passing Stopped",0,5
Speeding,61,448
Spillback,0,6
"Tinted Windows",12,212
"Truck Routes",7,44
U-Turn,1,6
Uninspected,3,28
Uninsured,25,175
"Unlicensed Operator",33,208
Unregistered,6,49
"Unsafe Lane Change",1,3
"Other Movers",65,448
"094    TOTAL Movers ",688,4671
"* All figures are preliminary and subject to change.",,
