Midtown South Precinct,,
    June ,,
014sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,3,18
Brake Lights (Defect.or Improper),18,298
"Bus Lane, Driving in",1,1
Cell Phone,311,1610
Commercial Veh on Pkwy,0,0
Defective Brakes,1,1
Disobey Sign,365,1961
Equipment (Other),2,12
Fail to Keep Right,0,3
Fail to Signal,39,166
Fail to Stop on Signal,36,241
Following Too Closely,0,1
Headlights (Defect. or Improper),16,738
Improper Lights,0,6
Improper Passing,0,0
Improper Turn,234,1523
Improper/Missing Plates,0,3
Not Giving R of W to Pedes.,156,874
Not Giving R of W to Veh.,1,5
One Way Street,16,46
Pavement Markings,6,45
Safety Belt,146,1267
"School Bus, Passing Stopped",0,2
Speeding,1,27
Spillback,76,490
Tinted Windows,14,275
Truck Routes,32,133
U-Turn,25,177
Uninspected,4,10
Uninsured,103,624
Unlicensed Operator,53,292
Unregistered,15,110
Unsafe Lane Change,27,121
Other Movers,92,533
014    TOTAL Movers ,1793,11613
