Brooklyn South,,
    June ,,
pbbssum,,
"",MTD   2014,YTD   2014
Backing Unsafely,32,206
Brake Lights (Defect.or Improper),137,964
"Bus Lane, Driving in",15,231
Cell Phone,1605,10274
Commercial Veh on Pkwy,0,33
Defective Brakes,0,9
Disobey Sign,1544,9798
Equipment (Other),46,193
Fail to Keep Right,0,9
Fail to Signal,343,2153
Fail to Stop on Signal,810,4821
Following Too Closely,13,59
Headlights (Defect. or Improper),86,842
Improper Lights,60,531
Improper Passing,105,510
Improper Turn,652,4707
Improper/Missing Plates,35,301
Not Giving R of W to Pedes.,496,3048
Not Giving R of W to Veh.,45,411
One Way Street,26,235
Pavement Markings,510,2777
Safety Belt,1840,9928
"School Bus, Passing Stopped",12,191
Speeding,479,2632
Spillback,50,323
Tinted Windows,833,6901
Truck Routes,80,533
U-Turn,105,900
Uninspected,44,494
Uninsured,599,4698
Unlicensed Operator,631,4210
Unregistered,159,947
Unsafe Lane Change,38,249
Other Movers,752,4038
PBBS   TOTAL Movers ,12182,78156
