"Moving Violations",,
"67th Precinct",,
"    June ",,
067sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",6,36
"Brake Lights (Defect.or Improper)",43,195
"Bus Lane, Driving in",4,111
"Cell Phone",90,642
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,0
"Disobey Sign",123,553
"Equipment (Other)",0,2
"Fail to Keep Right",0,3
"Fail to Signal",96,582
"Fail to Stop on Signal",77,689
"Following Too Closely",1,5
"Headlights (Defect. or Improper)",15,126
"Improper Lights",0,4
"Improper Passing",6,39
"Improper Turn",23,330
"Improper/Missing Plates",3,22
"Not Giving R of W to Pedes.",60,206
"Not Giving R of W to Veh.",4,37
"One Way Street",2,13
"Pavement Markings",80,384
"Safety Belt",90,575
"School Bus, Passing Stopped",1,12
Speeding,98,362
Spillback,7,50
"Tinted Windows",69,984
"Truck Routes",6,29
U-Turn,33,328
Uninspected,4,59
Uninsured,54,409
"Unlicensed Operator",70,568
Unregistered,17,132
"Unsafe Lane Change",3,19
"Other Movers",184,1042
"067    TOTAL Movers ",1269,8548
"* All figures are preliminary and subject to change.",,
