52nd Precinct,,
    June ,,
052sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,12
Brake Lights (Defect.or Improper),63,488
"Bus Lane, Driving in",0,4
Cell Phone,87,374
Commercial Veh on Pkwy,0,0
Defective Brakes,0,0
Disobey Sign,72,445
Equipment (Other),6,42
Fail to Keep Right,2,5
Fail to Signal,13,80
Fail to Stop on Signal,35,244
Following Too Closely,0,0
Headlights (Defect. or Improper),21,300
Improper Lights,0,20
Improper Passing,0,3
Improper Turn,116,668
Improper/Missing Plates,5,30
Not Giving R of W to Pedes.,19,98
Not Giving R of W to Veh.,1,5
One Way Street,0,4
Pavement Markings,50,255
Safety Belt,58,241
"School Bus, Passing Stopped",1,3
Speeding,112,494
Spillback,0,2
Tinted Windows,210,1372
Truck Routes,0,10
U-Turn,5,55
Uninspected,16,165
Uninsured,20,186
Unlicensed Operator,75,530
Unregistered,22,164
Unsafe Lane Change,2,13
Other Movers,39,197
052    TOTAL Movers ,1051,6509
