68th Precinct,,
    June ,,
068sum,,
"",MTD   2014,YTD   2014
Backing Unsafely,1,6
Brake Lights (Defect.or Improper),25,162
"Bus Lane, Driving in",0,1
Cell Phone,103,759
Commercial Veh on Pkwy,0,14
Defective Brakes,0,0
Disobey Sign,85,572
Equipment (Other),3,7
Fail to Keep Right,0,2
Fail to Signal,9,56
Fail to Stop on Signal,48,362
Following Too Closely,0,1
Headlights (Defect. or Improper),12,119
Improper Lights,0,0
Improper Passing,0,7
Improper Turn,79,513
Improper/Missing Plates,1,6
Not Giving R of W to Pedes.,58,430
Not Giving R of W to Veh.,2,7
One Way Street,0,0
Pavement Markings,8,52
Safety Belt,188,932
"School Bus, Passing Stopped",0,9
Speeding,34,289
Spillback,1,12
Tinted Windows,28,242
Truck Routes,22,89
U-Turn,1,13
Uninspected,1,3
Uninsured,53,352
Unlicensed Operator,51,297
Unregistered,16,71
Unsafe Lane Change,1,8
Other Movers,67,267
068    TOTAL Movers ,897,5660
