"Moving Violations",,
"7th Precinct",,
"    June ",,
007sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",0,0
"Brake Lights (Defect.or Improper)",0,0
"Bus Lane, Driving in",0,0
"Cell Phone",92,694
"Commercial Veh on Pkwy",0,1
"Defective Brakes",0,2
"Disobey Sign",171,1233
"Equipment (Other)",0,0
"Fail to Keep Right",0,0
"Fail to Signal",5,50
"Fail to Stop on Signal",80,438
"Following Too Closely",0,1
"Headlights (Defect. or Improper)",0,0
"Improper Lights",13,172
"Improper Passing",0,2
"Improper Turn",95,536
"Improper/Missing Plates",0,0
"Not Giving R of W to Pedes.",23,147
"Not Giving R of W to Veh.",0,4
"One Way Street",0,0
"Pavement Markings",0,0
"Safety Belt",56,426
"School Bus, Passing Stopped",0,11
Speeding,14,57
Spillback,15,83
"Tinted Windows",20,177
"Truck Routes",6,39
U-Turn,0,0
Uninspected,2,7
Uninsured,12,74
"Unlicensed Operator",22,151
Unregistered,6,29
"Unsafe Lane Change",0,4
"Other Movers",36,290
"007    TOTAL Movers ",668,4628
"* All figures are preliminary and subject to change.",,
