Queens South,,
    June ,,
pbqssum,,
"",MTD   2014,YTD   2014
Backing Unsafely,13,89
Brake Lights (Defect.or Improper),302,2130
"Bus Lane, Driving in",0,0
Cell Phone,823,4812
Commercial Veh on Pkwy,0,4
Defective Brakes,0,18
Disobey Sign,1432,7401
Equipment (Other),18,268
Fail to Keep Right,4,5
Fail to Signal,137,562
Fail to Stop on Signal,248,1742
Following Too Closely,2,18
Headlights (Defect. or Improper),156,1488
Improper Lights,36,276
Improper Passing,21,147
Improper Turn,799,4667
Improper/Missing Plates,23,145
Not Giving R of W to Pedes.,167,1205
Not Giving R of W to Veh.,23,172
One Way Street,12,53
Pavement Markings,220,1161
Safety Belt,1377,7070
"School Bus, Passing Stopped",7,102
Speeding,386,1777
Spillback,12,87
Tinted Windows,627,5799
Truck Routes,17,218
U-Turn,83,584
Uninspected,48,498
Uninsured,551,4492
Unlicensed Operator,616,4280
Unregistered,88,635
Unsafe Lane Change,16,91
Other Movers,377,2620
PBQS   TOTAL Movers ,8641,54616
