"Moving Violations",,
"46th Precinct",,
September,,
046sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",10,56
"Brake Lights (Defect.or Improper)",35,340
"Bus Lane, Driving in",2,33
"Cell Phone",68,554
"Commercial Veh on Pkwy",0,0
"Defective Brakes",2,3
"Disobey Sign",149,1387
"Equipment (Other)",9,101
"Fail to Keep Right",0,2
"Fail to Signal",15,182
"Fail to Stop on Signal",32,351
"Following Too Closely",1,2
"Headlights (Defect. or Improper)",14,208
"Improper Lights",1,9
"Improper Passing",2,20
"Improper Turn",35,300
"Improper/Missing Plates",1,22
"Not Giving R of W to Pedes.",16,270
"Not Giving R of W to Veh.",3,32
"One Way Street",14,73
"Pavement Markings",9,112
"Safety Belt",38,334
"School Bus, Passing Stopped",2,22
Speeding,40,492
Spillback,5,8
"Tinted Windows",445,1848
"Truck Routes",0,10
U-Turn,16,289
Uninspected,0,16
Uninsured,114,1034
"Unlicensed Operator",57,433
Unregistered,25,183
"Unsafe Lane Change",4,23
"Other Movers",136,958
"046    TOTAL Movers ",1300,9707
"* All figures are preliminary and subject to change.",,
