Brooklyn North,,
pbbnsum,,
"",MTD   2014,YTD   2014
Backing Unsafely,25,247
Brake Lights (Defect.or Improper),339,3594
"Bus Lane, Driving in",2,19
Cell Phone,921,11998
Commercial Veh on Pkwy,0,4
Defective Brakes,0,46
Disobey Sign,1324,13270
Equipment (Other),23,251
Fail to Keep Right,7,37
Fail to Signal,171,1854
Fail to Stop on Signal,680,6510
Following Too Closely,3,55
Headlights (Defect. or Improper),333,4467
Improper Lights,4,57
Improper Passing,74,672
Improper Turn,463,4757
Improper/Missing Plates,18,266
Not Giving R of W to Pedes.,156,1948
Not Giving R of W to Veh.,40,467
One Way Street,123,794
Pavement Markings,384,3403
Safety Belt,934,10751
"School Bus, Passing Stopped",149,288
Speeding,418,3652
Spillback,53,296
Tinted Windows,545,7512
Truck Routes,26,259
U-Turn,34,335
Uninspected,48,657
Uninsured,550,5887
Unlicensed Operator,673,6121
Unregistered,168,1635
Unsafe Lane Change,12,92
Other Movers,840,7826
PBBN   TOTAL Movers ,9540,100027
