"Moving Violations",,
"101st Precinct",,
September,,
101sum,,
"Offense Description","MTD   2014","YTD   2014"
"Backing Unsafely",2,26
"Brake Lights (Defect.or Improper)",101,888
"Bus Lane, Driving in",0,0
"Cell Phone",46,531
"Commercial Veh on Pkwy",0,0
"Defective Brakes",0,3
"Disobey Sign",62,806
"Equipment (Other)",23,183
"Fail to Keep Right",0,0
"Fail to Signal",25,77
"Fail to Stop on Signal",31,324
"Following Too Closely",0,5
"Headlights (Defect. or Improper)",116,1122
"Improper Lights",0,8
"Improper Passing",9,43
"Improper Turn",12,116
"Improper/Missing Plates",5,43
"Not Giving R of W to Pedes.",9,118
"Not Giving R of W to Veh.",1,11
"One Way Street",2,22
"Pavement Markings",4,45
"Safety Belt",57,611
"School Bus, Passing Stopped",12,26
Speeding,63,486
Spillback,2,2
"Tinted Windows",55,883
"Truck Routes",3,7
U-Turn,5,12
Uninspected,8,159
Uninsured,118,1666
"Unlicensed Operator",142,1370
Unregistered,12,160
"Unsafe Lane Change",0,2
"Other Movers",41,317
"101    TOTAL Movers ",966,10072
"* All figures are preliminary and subject to change.",,
